================================================
  NLOC    CCN   token  PARAM  length  location
     13       0.0     0.0        0.0         0     .\src\codes\result1582026322774.py
     13       0.0     0.0        0.0         0     .\src\codes\result1582026419497.py
     20       0.0     0.0        0.0         0     .\src\codes\result1582026479914.py
     14       0.0     0.0        0.0         0     .\src\codes\result1582026489582.py
     15       0.0     0.0        0.0         0     .\src\codes\result1582026534162.py
      8       3.0     1.0       27.0         1     .\src\codes\result1582026719400.py
      6       0.0     0.0        0.0         0     .\src\codes\result1582026884988.py
     10       0.0     0.0        0.0         0     .\src\codes\result1582027135307.py
     13       0.0     0.0        0.0         0     .\src\codes\result1582027334432.py
     13       0.0     0.0        0.0         0     .\src\codes\result1582027341300.py
     12       0.0     0.0        0.0         0     .\src\codes\result1582027409932.py
     12       0.0     0.0        0.0         0     .\src\codes\result1582027542300.py
     17       0.0     0.0        0.0         0     .\src\codes\result1582028612008.py
     21       6.7     2.7       59.0         3     .\src\codes\result1582028638818.py
     21       6.7     2.7       59.0         3     .\src\codes\result1582028723767.py
     11       6.0     2.0       62.0         1     .\src\codes\result1582028832541.py
     11       6.0     2.0       65.0         1     .\src\codes\result1582028857361.py
     39       9.5     3.0       52.5         2     .\src\codes\result1582028875757.py
      8       0.0     0.0        0.0         0     .\src\codes\result1582031585018.py
      7       0.0     0.0        0.0         0     .\src\codes\result1582033004463.py
     10       0.0     0.0        0.0         0     .\src\codes\result1582033484294.py
     16       0.0     0.0        0.0         0     .\src\codes\result1582034339269.py
      8       0.0     0.0        0.0         0     .\src\codes\result1582034821466.py
     14       0.0     0.0        0.0         0     .\src\codes\result1582035035297.py
     13       0.0     0.0        0.0         0     .\src\codes\result1582038217577.py
     21       0.0     0.0        0.0         0     .\src\codes\result1582039071866.py
     23      21.0     7.0      148.0         1     .\src\codes\result1582040378673.py
      7       0.0     0.0        0.0         0     .\src\codes\result1582040807607.py
     15       0.0     0.0        0.0         0     .\src\codes\result1582041250131.py
     20       0.0     0.0        0.0         0     .\src\codes\result1582042092270.py
     39      15.0     4.5       71.5         2     .\src\codes\result1582044262317.py
     22       0.0     0.0        0.0         0     .\src\codes\result1582047936127.py
     19       0.0     0.0        0.0         0     .\src\codes\result1582047990460.py
     31      10.0     3.0       61.0         1     .\src\codes\result1582053006439.py
     12       0.0     0.0        0.0         0     .\src\codes\result1582055131502.py
     12       0.0     0.0        0.0         0     .\src\codes\result1582055248452.py
     17       0.0     0.0        0.0         0     .\src\codes\result1582055433001.py
     29      27.0    15.0      168.0         1     .\src\codes\result1582058094992.py
     25      23.0    13.0      153.0         1     .\src\codes\result1582058160389.py
     25      23.0    13.0      151.0         1     .\src\codes\result1582058207969.py
     25      23.0    13.0      151.0         1     .\src\codes\result1582058455015.py
     16      14.0     6.0       89.0         1     .\src\codes\result1582061088071.py
     19      17.0     7.0       98.0         1     .\src\codes\result1582061213207.py
     19      17.0     9.0      104.0         1     .\src\codes\result1582061968658.py
     14      12.0     4.0       76.0         1     .\src\codes\result1582062631303.py
     14      12.0     4.0       76.0         1     .\src\codes\result1582062663133.py
     22       0.0     0.0        0.0         0     .\src\codes\result1582074801277.py
      5       0.0     0.0        0.0         0     .\src\codes\result1582076191709.py
     12       0.0     0.0        0.0         0     .\src\codes\result1582076884697.py
     34      21.0     7.0      122.0         1     .\src\codes\result1582080801201.py
     18      13.0     4.0       55.0         1     .\src\codes\result1582082138560.py
     28      11.0     3.0       57.5         2     .\src\codes\result1582082746712.py
     13       0.0     0.0        0.0         0     .\src\codes\result1582083097376.py
     15       0.0     0.0        0.0         0     .\src\codes\result1582084507003.py
     14       0.0     0.0        0.0         0     .\src\codes\result1582084702746.py
     19       0.0     0.0        0.0         0     .\src\codes\result1582085210872.py
      7       0.0     0.0        0.0         0     .\src\codes\result1582086576606.py
     18      14.0     5.0       84.0         1     .\src\codes\result1582086956015.py
     23       7.5     3.0       43.5         2     .\src\codes\result1582087319237.py
     15       0.0     0.0        0.0         0     .\src\codes\result1582087495635.py
     14       0.0     0.0        0.0         0     .\src\codes\result1582087509768.py
      5       0.0     0.0        0.0         0     .\src\codes\result1582087700077.py
      9       0.0     0.0        0.0         0     .\src\codes\result1582087909817.py
     52      22.0     9.0      165.0         1     .\src\codes\result1582088894285.py
     33      32.0    12.0      270.0         1     .\src\codes\result1582091572464.py
      8       0.0     0.0        0.0         0     .\src\codes\result1582091899490.py
      4       0.0     0.0        0.0         0     .\src\codes\result1582093567807.py
     13       0.0     0.0        0.0         0     .\src\codes\result1582095109020.py
     15       0.0     0.0        0.0         0     .\src\codes\result1582095526445.py
     35      11.0     2.0       74.0         1     .\src\codes\result1582095604387.py
     16       6.0     2.0       29.0         1     .\src\codes\result1582095814416.py
     19       0.0     0.0        0.0         0     .\src\codes\result1582096009408.py
     12       7.0     3.0       34.0         1     .\src\codes\result1582096199911.py
     14       0.0     0.0        0.0         0     .\src\codes\result1582096739698.py
     12       0.0     0.0        0.0         0     .\src\codes\result1582096794813.py
     13       7.0     5.0       93.0         1     .\src\codes\result1582097086079.py
     13       7.0     5.0       93.0         1     .\src\codes\result1582097094414.py
     14       0.0     0.0        0.0         0     .\src\codes\result1582097216408.py
      3       0.0     0.0        0.0         0     .\src\codes\result1582097389499.py
      5       0.0     0.0        0.0         0     .\src\codes\result1582097415875.py
      5       0.0     0.0        0.0         0     .\src\codes\result1582097440572.py
     11       0.0     0.0        0.0         0     .\src\codes\result1582097874034.py
      4       0.0     0.0        0.0         0     .\src\codes\result1582098617913.py
      4       0.0     0.0        0.0         0     .\src\codes\result1582098626509.py
      6       0.0     0.0        0.0         0     .\src\codes\result1582098805061.py
      8       0.0     0.0        0.0         0     .\src\codes\result1582098869078.py
      8       0.0     0.0        0.0         0     .\src\codes\result1582098918484.py
      8       0.0     0.0        0.0         0     .\src\codes\result1582099398071.py
      8       0.0     0.0        0.0         0     .\src\codes\result1582099414784.py
      8       0.0     0.0        0.0         0     .\src\codes\result1582099531022.py
     17       0.0     0.0        0.0         0     .\src\codes\result1582099903264.py
     16      13.0     6.0       80.0         1     .\src\codes\result1582100397279.py
     18       0.0     0.0        0.0         0     .\src\codes\result1582100897913.py
      1       0.0     0.0        0.0         0     .\src\codes\result1582102400535.py
      1       0.0     0.0        0.0         0     .\src\codes\result1582102437826.py
     16       6.0     4.0       50.0         1     .\src\codes\result1582102447100.py
     18       8.0     5.0       57.0         1     .\src\codes\result1582102494349.py
     18       8.0     5.0       57.0         1     .\src\codes\result1582102502753.py
     18       8.0     5.0       57.0         1     .\src\codes\result1582102513771.py
     20      10.0     9.0      100.0         1     .\src\codes\result1582102724301.py
     20      10.0     9.0      104.0         1     .\src\codes\result1582102746437.py
     20      10.0     6.0       84.0         1     .\src\codes\result1582102870840.py
      3       0.0     0.0        0.0         0     .\src\codes\result1582103079743.py
     23      13.0     6.0       89.0         1     .\src\codes\result1582103146401.py
      5       0.0     0.0        0.0         0     .\src\codes\result1582103323342.py
     11       8.0     4.0      132.0         1     .\src\codes\result1582103508498.py
     11       0.0     0.0        0.0         0     .\src\codes\result1582103894069.py
     12       0.0     0.0        0.0         0     .\src\codes\result1582104428987.py
     15       0.0     0.0        0.0         0     .\src\codes\result1582105135477.py
      5       0.0     0.0        0.0         0     .\src\codes\result1582105362063.py
      5       0.0     0.0        0.0         0     .\src\codes\result1582105389073.py
     11       0.0     0.0        0.0         0     .\src\codes\result1582105504910.py
     19       6.0     3.0       40.0         2     .\src\codes\result1582106010349.py
      7       0.0     0.0        0.0         0     .\src\codes\result1582106059490.py
     20       0.0     0.0        0.0         0     .\src\codes\result1582106887210.py
     34       6.7     3.3       43.7         3     .\src\codes\result1582107492201.py
     12       0.0     0.0        0.0         0     .\src\codes\result1582108043427.py
